y,intensity_a,intensity_b,intensity_c,intensity_d
28,2.965877e-2,1.698701e-2,1.150267e-1,1.759491e-2
29,3.489360e-2,2.142015e-2,1.183697e-1,2.319224e-2
30,4.052204e-2,2.517257e-2,1.341376e-1,2.607963e-2
31,4.606529e-2,2.768729e-2,1.321223e-1,3.004046e-2
32,5.104868e-2,2.887631e-2,1.429044e-1,3.002128e-2
33,5.508652e-2,2.904651e-2,1.343791e-1,3.165178e-2
34,5.793592e-2,2.867814e-2,1.382871e-1,3.002459e-2
35,5.943918e-2,2.816065e-2,1.232585e-1,3.085914e-2
36,5.951100e-2,2.761403e-2,1.196440e-1,2.908320e-2
37,5.823759e-2,2.688030e-2,9.959134e-2,2.955532e-2
38,5.588567e-2,2.567457e-2,8.953403e-2,2.706458e-2
39,5.272879e-2,2.379297e-2,6.801692e-2,2.607745e-2
40,4.894593e-2,2.125159e-2,5.502428e-2,2.225247e-2
41,4.470565e-2,1.829843e-2,3.678866e-2,1.984301e-2
42,4.022094e-2,1.533008e-2,2.569594e-2,1.577429e-2
43,3.567033e-2,1.278280e-2,1.421030e-2,1.371587e-2
